Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM CORREGO DE SANTA MARIA,32019050,ES,São Mateus,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SAO DOMINGOS, SN SANTA MARIA. 29947-510 São Mateus - ES.",(27) 997323754,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-18.5788948,-40.1429571
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF 27 DE OUTUBRO,32019270,ES,São Mateus,Rural,Área de assentamento,Pública,"ASSENTAMENTO GEORGINA, SN ASSENTAMENTO. ZONA RURAL. 29949-040 São Mateus - ES.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-18.7757998,-40.2166009
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEPEF PADRE EZEQUIEL,32019343,ES,São Mateus,Rural,Área de assentamento,Pública,"CORREGO JUERANA I, SN ZONA RURAL. 29949-040 São Mateus - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-18.7479661,-40.2388343
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEPEF VALE DA VITORIA,32019378,ES,São Mateus,Rural,Área de assentamento,Pública,"ASSENTAMENTO GEORGINA, SN CORREGO JUERANA. NESTOR GOMES. 29949-040 São Mateus - ES.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-18.7576407,-40.2112407
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM NESTOR GOMES,32019459,ES,São Mateus,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CAMILO SILVA, SNº ESCOLA. NESTOR GOMES. 29949-040 São Mateus - ES.",(27) 31180083,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.7330585,-40.2210233
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEMTI MONSENHOR GUILHERME SCHMITZ,32019807,ES,Aracruz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ARISTIDES BITTI, 350 DE CARLI. 29194-006 Aracruz - ES.",(27) 32561637,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,"Atendimento Educacional Especializado, Atividade Complementar",-19.8218743,-40.2829456
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROFESSOR APARICIO ALVARENGA,32020023,ES,Aracruz,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA AURELIO ALVARENGA, 102 ESCOLA. GUARANA. 29195-421 Aracruz - ES.",(27) 32761375,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.6781495,-40.2607628
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM DYLIO PENEDO,32020180,ES,Aracruz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GENES QUARTEZANI, 01 JACUPEMBA. 29190-010 Aracruz - ES.",(27) 998170181,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.58777,-40.19402
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ERMENTINA LEAL,32020333,ES,Aracruz,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA SAO BENEDITO, 344 VILA DO RIACHO. 29197-051 Aracruz - ES.",(27) 32509210,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.7460028,-40.0406267
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM CABOCLO BERNARDO,32020341,ES,Aracruz,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PROFESSOR APARICIO ALVARENGA, S/N BARRA DO RIACHO. 29197-556 Aracruz - ES.",(27) 32968227,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.8251491,-40.060233
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PRIMO BITTI,32020643,ES,Aracruz,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DAS PALMEIRAS, SN ESCOLA. COQUEIRAL. 29199-135 Aracruz - ES.",(27) 32501206,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-19.92853319,-40.13921256
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI NAIR MIRANDA,32020910,ES,Fundão,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA VICENTE FERNANDES DE OLIVEIRA, 38 CENTRO. 29185-000 Fundão - ES.",(27) 32671280,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.9372345,-40.4036443
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM NARCEU DE PAIVA FILHO,32021194,ES,Ibiraçu,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DANIEL COMBONI, 51 ESCOLA. CENTRO. 29670-000 Ibiraçu - ES.",(27) 32571570,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.8310633,-40.3660917
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM NOSSA SENHORA DA SAUDE,32021259,ES,Ibiraçu,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DANIEL COMBONI, 19 CENTRO. 29670-000 Ibiraçu - ES.",(27) 32571044,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.8301065,-40.3667838
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOAO NEIVA,32021550,ES,João Neiva,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LUCIA COMETTI, 97 CENTRO. 29680-000 João Neiva - ES.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.7569761,-40.3818939
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEJA DE LINHARES,32021798,ES,Linhares,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MONSENHOR PEDRINHA, SN CENTRO. 29900-158 Linhares - ES.",(27) 995213125,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação de Jovens Adultos,Atendimento Educacional Especializado,-19.4022606,-40.0666867
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI BARTOUVINO COSTA,32021933,ES,Linhares,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JONES DOS SANTOS NEVES, 753 CENTRO. 29900-030 Linhares - ES.",(27) 32642047,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-19.4024747,-40.0660058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOSE DE CALDAS BRITO,32022050,ES,Linhares,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CAPITAO JOSE MARIA, SN ARACA. 29901-455 Linhares - ES.",(27) 32642996,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.3972965,-40.0602209
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROFESSORA REGINA BANHOS PAIXAO,32022158,ES,Linhares,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DINORAH ALMEIDA RODRIGUES, SN QUADRA 4. LINHARES V. 29905-360 Linhares - ES.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.3599664,-40.05252256
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM POLIVALENTE DE LINHARES I,32022212,ES,Linhares,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PRESIDENTE CAFE FILHO, 546 PROXIMO AO MARTINS. NOVO HORIZONTE. 29902-400 Linhares - ES.",(27) 33731306,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.381038,-40.0600389
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEM EMIR DE MACEDO GOMES,32022360,ES,Linhares,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA SAO MATEUS, 1679 SHELL. 29901-630 Linhares - ES.",(27) 32641082,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.3963821,-40.0634942
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROFESSOR MANOEL ABREU,32022778,ES,Linhares,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA BENEVENUTO ZORZANELLI, 1488 ESCOLA. BEBEDOURO. 29913-030 Linhares - ES.",(27) 97952576,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.475907,-40.1168934
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ARMANDO BARBOSA QUITIBA,32023014,ES,Sooretama,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA VITORIO BOBBIO, 412 CENTRO. 29927-000 Sooretama - ES.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.1915638,-40.096769
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM VILA REGENCIA,32023685,ES,Linhares,Rural,A escola não está em área de localização diferenciada,Pública,"RUA PROJETADA, SN ESCOLA. REGENCIA. 29914-000 Linhares - ES.",(27) 32741258,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.6460751,-39.8264789
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM FAZENDA AMORIM,32024134,ES,Vila Valério,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO PARAISOPOLIS, SN ZONA RURAL. 29785-000 Vila Valério - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-18.9404574,-40.302884
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF CORREGO DO PAVAO,32024240,ES,Vila Valério,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO DO PAVAO, SN ZONA RURAL. 29785-000 Vila Valério - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-18.8734979,-40.326504
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEUEF NOVA JERUSALEM,32024410,ES,Vila Valério,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO PARAISO NOVO, SN ZONA RURAL. 29785-000 Vila Valério - ES.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-18.9702488,-40.3080921
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MANOEL SALUSTIANO DE SOUZA,32024550,ES,Linhares,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JOSE TESCH SOBRINHO, SN RUA PRINCIPAL. SAO RAFAEL. 29918-000 Linhares - ES.",(27) 99559200,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-19.369234,-40.44753
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM BANANAL,32025149,ES,Rio Bananal,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PADRE ALESSANDRO FERLONI, 50 CENTRO. 29920-000 Rio Bananal - ES.",(27) 32651921,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.2718911,-40.3280277
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI AFONSO CLAUDIO,32025920,ES,Afonso Cláudio,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA UTE AMELIA GASTIN PADUA, 50124 SAO TARCISIO. 29600-000 Afonso Cláudio - ES.",(27) 37352088,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.0754704,-41.1269763
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM LEOGILDO SEVERIANO DE SOUZA,32026480,ES,Brejetuba,Rural,A escola não está em área de localização diferenciada,Pública,"FAZENDA LEOGILDO, ZONA RURAL SN. ZONA RURAL. 29630-000 Brejetuba - ES.",(27) 999148320,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.1105215,-41.339661
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MARLENE BRANDAO,32026536,ES,Brejetuba,Rural,A escola não está em área de localização diferenciada,Pública,"RUA MARIANO DUTRA CHAVES, 120 VILA DE BREJAUBINHA. ZONA RURAL. 29630-000 Brejetuba - ES.",(27) 997683448,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.1823024,-41.2667904
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ALVARO CASTELO,32026552,ES,Brejetuba,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRACA 15 DE DEZEMBRO, 100 BELARMINO ULIANA. 29630-000 Brejetuba - ES.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-20.1445137,-41.2877011
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM SAO JORGE,32026846,ES,Brejetuba,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA NEPHTALY ANTONIO CAETANO, 160 PD. SAO JORGE DE OLIVEIRA. 29635-000 Brejetuba - ES.",(27) 37334033,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-19.9754928,-41.2802121
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOSE ROBERTO CHRISTO,32027206,ES,Afonso Cláudio,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ALIPIO VIEIRA DA CUNHA, 307 PIRACEMA. 29600-000 Afonso Cláudio - ES.",(27) 37351860,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.18294,-41.1937862
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM FAZENDA CAMPORES,32027532,ES,Brejetuba,Rural,A escola não está em área de localização diferenciada,Pública,"RANCHO DANTAS, SN ZONA RURAL. 29630-000 Brejetuba - ES.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-20.2530189,-41.2378654
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOSE GIESTAS,32027540,ES,Afonso Cláudio,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA WERNER RUCHDESCHEL, 227 VILA PONTOES. 29604-000 Afonso Cláudio - ES.",(27) 988600001,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.2009035,-41.0454844
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM MARIA DE ABREU ALVIM,32027567,ES,Afonso Cláudio,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA FRANCISCO TOSTA, SN FAZENDA GUANDU. FAZENDA GUANDU. 29609-000 Afonso Cláudio - ES.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.2141865,-41.1036842
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ELVIRA BARROS,32027753,ES,Afonso Cláudio,Urbana,Área onde se localizam povos e comunidades tradicionais,Pública,"AVENIDA LEVY DIAS DE CARVALHO, 200 PD. SERRA PELADA. 29603-000 Afonso Cláudio - ES.",(27) 37357184,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.0043116,-41.0292317
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROFª ALDY SOARES MERCON VARGAS,32028059,ES,Conceição do Castelo,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA DA MATRIZ, 9 CENTRO. 29370-000 Conceição do Castelo - ES.",(28) 35471283,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.3561321,-41.2420828
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM TEOFILO PAULINO,32028580,ES,Domingos Martins,Urbana,A escola não está em área de localização diferenciada,Pública,"ALAMEDA DOS PINHAIS, 01 CENTRO. 29260-000 Domingos Martins - ES.",(27) 997305042,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.36821183,-40.66284983
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PEDRA AZUL,32028806,ES,Domingos Martins,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PETERLE, SN PEDRA AZUL. 29278-000 Domingos Martins - ES.",(27) 32481291,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-20.3815491,-41.0318146
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM VICTORIO BRAVIM,32029012,ES,Marechal Floriano,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PROJETADA, SN ESCOLA. ARAGUAYA. 29258-000 Marechal Floriano - ES.",(27) 998048355,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-20.4848589,-40.7715087
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM GISELA SALLOKER FAYET,32029292,ES,Domingos Martins,Urbana,A escola não está em área de localização diferenciada,Pública,"ESTRADA PRINCIPAL, 35 PARAJU. 29273-000 Domingos Martins - ES.",(27) 32491063,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-20.3167593,-40.8037641
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PONTO DO ALTO,32029306,ES,Domingos Martins,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA REINOLDO KIEFER, 92 PONTO ALTO. 29273-000 Domingos Martins - ES.",(27) 32495066,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-20.2866495,-40.816403
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM LUIZ JOUFFROY,32029438,ES,Laranja da Terra,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA CARLOS PALACIO, 264 CENTRO. 29615-000 Laranja da Terra - ES.",(27) 37361378,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-19.900281,-41.0554862
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM JOAQUIM CAETANO DE PAIVA,32029594,ES,Laranja da Terra,Urbana,Área onde se localizam povos e comunidades tradicionais,Pública,"RUA GUILHERME PIZZAIA, SN JOATUBA. 29617-000 Laranja da Terra - ES.",(27) 37365178,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-19.8791548,-40.9604727
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM EMILIO OSCAR HULLE,32029993,ES,Marechal Floriano,Urbana,A escola não está em área de localização diferenciada,Pública,"COLINA DA FE E DA CIENCIA, SN ESCOLA. CENTRO. 29255-000 Marechal Floriano - ES.",(27) 995807567,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-20.4134908,-40.6744077
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM DOMINGOS PERIM,32030142,ES,Venda Nova do Imigrante,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LA VILLE, 134 TRINTA DE DEZEMBRO. 29375-000 Venda Nova do Imigrante - ES.",(28) 35461608,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-20.3352561,-41.1316477
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF LIBERAL ZANDONADI,32030150,ES,Venda Nova do Imigrante,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOM JOAO BATISTA, 51 VILA BETANEA. 29375-000 Venda Nova do Imigrante - ES.",(28) 988042692,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-20.3239951,-41.1351537
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM FIORAVANTE CALIMAN,32030177,ES,Venda Nova do Imigrante,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA EVANDI AMERICO COMARELA, 675 ESCOLA. CENTRO. 29375-000 Venda Nova do Imigrante - ES.",(28) 35462511,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-20.3285204,-41.1332742
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM EURICO SALLES,32030584,ES,Itaguaçu,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA 17 DE FEVEREIRO, 160 CASA. CENTRO. 29690-000 Itaguaçu - ES.",(27) 37251311,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-19.8037324,-40.8560535
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM FABIANO FRANCISCO TOMASINI,32030959,ES,Itaguaçu,Rural,A escola não está em área de localização diferenciada,Pública,"ESTRADA ALTO LAGE, SN ALTO LAGE. ZONA RURAL. 29690-000 Itaguaçu - ES.",(27) 99033987,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-19.6939128,-40.9211714
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ALFREDO LEMOS,32030983,ES,Itaguaçu,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MALVINA PASSAMANI, SN ITAIMBE. 29690-000 Itaguaçu - ES.",(27) 99941164,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-19.6646687,-40.8356422
