CD_ESCOLA,NM_ESCOLA,NM_MUNICIPIO,NM_REGIONAL,TX_ACERTO_24,TX_ACERTO_25,evolucao_pct,cod_inep,latitude,longitude
32040067,EEEM COLEGIO ESTADUAL DO ESPIRITO SANTO,VITORIA,SRE CARAPINA,44.15850361131332,49.10658649361989,4.95,32040067,-20.3182174,-40.3243934
32040288,EEEM GOMES CARDIM,VITORIA,SRE CARAPINA,34.57332900713822,40.56221198156682,5.99,32040288,-20.3177567,-40.3301648
32040334,EEEFM IRMA MARIA HORTA,VITORIA,SRE CARAPINA,45.37492995236761,47.79341869464717,2.42,32040334,-20.2980884,-40.2941857
32040695,EEEFM AFLORDIZIO CARVALHO DA SILVA,VITORIA,SRE CARAPINA,41.287989479836355,38.504622344610546,-2.78,32040695,-20.2952586,-40.3109794
32040725,EEEFM MAJOR ALFREDO PEDRO RABAYOLLI,VITORIA,SRE CARAPINA,37.54137115839243,54.0097499573306,16.47,32040725,-20.3154936,-40.3580188
32040733,EEEFM MARIA ORTIZ,VITORIA,SRE CARAPINA,47.75753660063677,49.801713815297106,2.04,32040733,-20.3209781,-40.3405649
32040784,CEEMTI PROF FERNANDO DUARTE RABELO,VITORIA,SRE CARAPINA,46.997201189204254,51.459859584859586,4.46,32040784,-20.3094974,-40.2947334
32041560,EEEFM ALMIRANTE BARROSO,VITORIA,SRE CARAPINA,45.94631548647092,51.200836233022784,5.25,32041560,-20.2669944,-40.299434
32041640,EEEM ARNULPHO MATTOS,VITORIA,SRE CARAPINA,53.54620700739312,56.18315374574493,2.64,32041640,-20.2720138,-40.2939428
32041756,EEEFM CAMILA MOTTA,ALFREDO CHAVES,SRE VILA VELHA,57.95588235294118,59.733333333333334,1.78,32041756,-20.6381629,-40.7465624
32042647,EEEFM CORONEL GOMES DE OLIVEIRA,ANCHIETA,SRE VILA VELHA,41.093819723337795,52.82838983050847,11.73,32042647,-20.7996681,-40.6421648
32043490,EEEFM ANGELICA PAIXAO,GUARAPARI,SRE VILA VELHA,39.427692307692304,49.763273255340515,10.34,32043490,-20.6616597,-40.5042247
32043554,EEEFM MANOEL ROZINDO DA SILVA,GUARAPARI,SRE VILA VELHA,54.43594858156029,55.4375,1.0,32043554,-20.7379968,-40.5389735
32043651,EEEFM ZENOBIA LEAO,GUARAPARI,SRE VILA VELHA,47.53350379121848,48.73670641314857,1.2,32043651,-20.67421754,-40.50551745
32043660,EEEFM ZULEIMA FORTES FARIA,GUARAPARI,SRE VILA VELHA,50.745793454769995,51.93624102294622,1.19,32043660,-20.6638097,-40.5075077
32043686,EEEM DOUTOR SILVA MELLO,GUARAPARI,SRE VILA VELHA,48.588644120563615,51.248545645449646,2.66,32043686,-20.67295135,-40.50267284
32043694,EEEFM LYRA RIBEIRO SANTOS,GUARAPARI,SRE VILA VELHA,47.0,47.55353666450357,0.55,32043694,-20.6831843,-40.5149008
32043830,EEEM GUARAPARI,GUARAPARI,SRE VILA VELHA,50.77626918536009,54.149750830564784,3.37,32043830,-20.6711598,-40.4974091
32044364,EEEFM CEL ANTONIO DUARTE,ICONHA,SRE CACHOEIRO DE ITAPEMIRIM,55.143678160919535,55.90021929824562,0.76,32044364,-20.7895301,-40.8159331
32044747,EEEFM PROFESSORA FILOMENA QUITIBA,PIUMA,SRE VILA VELHA,48.80113636363636,51.89738101813495,3.1,32044747,-20.83773565,-40.72666275
32044950,EEEFM WALDEMIRO HEMERLY,RIO NOVO DO SUL,SRE CACHOEIRO DE ITAPEMIRIM,50.411392405063296,59.21058994197292,8.8,32044950,-20.8638162,-40.9323705
32045360,EEEFM PROFESSOR PEDRO SIMAO,ALEGRE,SRE COMENDADORA JUREMA MORETZ SOHN,39.03354978354979,48.052026618269814,9.02,32045360,-20.7664681,-41.5458981
32045379,CEEFMTI ARISTEU AGUIAR,ALEGRE,SRE COMENDADORA JUREMA MORETZ SOHN,47.64705882352942,48.85416666666667,1.21,32045379,-20.7589086,-41.5374543
32045719,EEEFM ANA MONTEIRO DE PAIVA,ALEGRE,SRE COMENDADORA JUREMA MORETZ SOHN,50.38461538461539,71.25,20.87,32045719,-20.611608,-41.4496379
32045867,EEEFM OSCAR DE ALMEIDA GAMA,ALEGRE,SRE COMENDADORA JUREMA MORETZ SOHN,71.66666666666666,68.92857142857143,-2.74,32045867,-20.5928034,-41.555549
32046022,EEEFM JOSE CORRENTE,ALEGRE,SRE COMENDADORA JUREMA MORETZ SOHN,51.77083333333333,62.83653846153846,11.07,32046022,-20.8684109,-41.5716169
32046103,EEEFM SIRENA REZENDE FONSECA,ALEGRE,SRE COMENDADORA JUREMA MORETZ SOHN,61.05263157894737,56.14864864864865,-4.9,32046103,-20.7647567,-41.592005
32046383,EEEFM JUVENAL NOLASCO,DIVINO DE SAO LOURENCO,SRE COMENDADORA JUREMA MORETZ SOHN,48.36925694838344,47.88506012950971,-0.48,32046383,-20.6223125,-41.6866183
32046634,EEEFM PEDRO DE ALCANTARA GALVEAS,DORES DO RIO PRETO,SRE COMENDADORA JUREMA MORETZ SOHN,47.11864406779661,46.59977703455965,-0.52,32046634,-20.692903,-41.8489949
32046901,EEEFM ANTONIO CARNEIRO RIBEIRO,GUACUI,SRE COMENDADORA JUREMA MORETZ SOHN,48.54080733298078,53.76258293296728,5.22,32046901,-20.770824,-41.6788325
32048092,EEEFM ANTONIO LEMOS JUNIOR,IBITIRAMA,SRE COMENDADORA JUREMA MORETZ SOHN,45.658831908831914,51.283712321523005,5.62,32048092,-20.5388465,-41.6612205
32048106,EEEFM OLAVO RODRIGUES DA COSTA,IBITIRAMA,SRE COMENDADORA JUREMA MORETZ SOHN,58.125,62.08670715249662,3.96,32048106,-20.5133586,-41.7159909
32048459,EEEFM BERNARDO HORTA,IRUPI,SRE COMENDADORA JUREMA MORETZ SOHN,54.36144578313253,52.07201086956522,-2.29,32048459,-20.3459965,-41.6411507
32048920,CEEFMTI HENRIQUE COUTINHO,IUNA,SRE COMENDADORA JUREMA MORETZ SOHN,53.89329805996473,59.868326118326124,5.98,32048920,-20.347524,-41.5323537
32049242,EEEFM PADRE AFONSO BRAZ,IUNA,SRE COMENDADORA JUREMA MORETZ SOHN,55.847457627118644,49.705615942028984,-6.14,32049242,-20.2771509,-41.7778903
32049536,CEEFMTI BRAULIO FRANCO,MUNIZ FREIRE,SRE COMENDADORA JUREMA MORETZ SOHN,57.00075786282682,60.36137804130035,3.36,32049536,-20.4629482,-41.4130894
32050364,EEEFM ARQUIMIMO MATTOS,MUNIZ FREIRE,SRE COMENDADORA JUREMA MORETZ SOHN,52.95570916538658,57.03667685468186,4.08,32050364,-20.336727,-41.3902912
32050984,EEEFM CANDIDA POVOA,APIACA,SRE COMENDADORA JUREMA MORETZ SOHN,37.995652173913044,49.38775510204082,11.39,32050984,-21.15134197,-41.56941055
32051328,EEEFM FERNANDO DE ABREU,ATILIO VIVACQUA,SRE CACHOEIRO DE ITAPEMIRIM,42.81292021515016,43.63560106444521,0.82,32051328,-20.9128758,-41.1963302
32051840,EEEFM HORACIO PLINIO,BOM JESUS DO NORTE,SRE COMENDADORA JUREMA MORETZ SOHN,48.625,50.21367521367522,1.59,32051840,-21.1327674,-41.6782577
32052103,EEEM CEI ATTILA DE ALMEIDA MIRANDA,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,48.3179012345679,59.62054462029525,11.3,32052103,-20.8423045,-41.12856382
32052189,EEEFM AGOSTINHO SIMONATO,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,46.92525917623985,53.447334320622,6.52,32052189,-20.84987253,-41.14631918
32052189,EEEFM AGOSTINHO SIMONATO,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,46.92525917623985,53.447334320622,6.52,32052189,-20.84987253,-41.14631918
32052308,CEEFMTI FRANCISCO COELHO AVILA JUNIOR,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,46.84426229508196,49.77565392354125,2.93,32052308,-20.85340404,-41.09369801
32052316,EEEFM FRATERNIDADE E LUZ,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,55.527554800864465,67.34279069767442,11.82,32052316,-20.85419856,-41.11223526
32052405,EEEFM LIONS SEBASTIAO PAIVA VIDAURRE,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,47.59915388683237,54.21092421092421,6.61,32052405,-20.8324401,-41.1561586
32052529,EEEFM PRESIDENTE GETULIO VARGAS,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,49.640742435588095,51.39438535740787,1.75,32052529,-20.8419193,-41.1144427
32052545,EEEFM PROF CLAUDIONOR RIBEIRO,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,51.22242647058823,57.067080710431654,5.84,32052545,-20.84268949,-41.12630747
32052618,EEEFM PROF HOSANA SALLES,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,49.66525634644101,58.111338797814206,8.45,32052618,-20.8313409,-41.1760536
32052693,EEEFM WILSON RESENDE,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,45.86021505376344,61.82432432432432,15.96,32052693,-20.6806538,-41.3473509
32052731,CEEFMTI LICEU MUNIZ FREIRE,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,47.421875,50.04716981132075,2.63,32052731,-20.8530326,-41.1063251
32052847,EEEFM PROF PETRONILHA VIDIGAL,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,39.73214285714286,55.26754385964912,15.54,32052847,-20.728055,-41.13268167
32053860,EEEFM ZACHEU MOREIRA DA FRAGA,CACHOEIRO DE ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,56.140350877192986,54.82636575616256,-1.31,32053860,-20.7633816,-41.0595082
32054092,EEEFM JOAO BLEY,CASTELO,SRE CACHOEIRO DE ITAPEMIRIM,61.880148971227044,58.70689655172414,-3.17,32054092,-20.6104901,-41.2028224
32055510,EEEFM JERONIMO MONTEIRO,JERONIMO MONTEIRO,SRE CACHOEIRO DE ITAPEMIRIM,41.23271889400922,53.01288936627283,11.78,32055510,-20.7907466,-41.3946291
32055820,CEEFMTI ANTONIO ACHA,MIMOSO DO SUL,SRE CACHOEIRO DE ITAPEMIRIM,44.327380952380956,43.026315789473685,-1.3,32055820,-21.0644792,-41.3681327
32055838,EEEFM MONSENHOR ELIAS TOMASI,MIMOSO DO SUL,SRE CACHOEIRO DE ITAPEMIRIM,42.22424146649811,65.16731507928691,22.94,32055838,-21.0597569,-41.3581031
32057504,CEEFMTI SENADOR DIRCEU CARDOSO,MUQUI,SRE CACHOEIRO DE ITAPEMIRIM,47.266666666666666,64.30434782608695,17.04,32057504,-20.946975,-41.3363756
32058268,EEEFM MERCES GARCIA VIEIRA,SAO JOSE DO CALCADO,SRE COMENDADORA JUREMA MORETZ SOHN,53.54678068410463,49.98411753027595,-3.56,32058268,-21.0250382,-41.6564974
32058918,EEEFM PRESIDENTE LUEBKE,VARGEM ALTA,SRE CACHOEIRO DE ITAPEMIRIM,49.35945945945946,55.48611111111111,6.13,32058918,-20.6723343,-41.0108486
32059310,EEEFM AGOSTINHO AGRIZZI,VARGEM ALTA,SRE CACHOEIRO DE ITAPEMIRIM,61.53508771929825,65.5,3.96,32059310,-20.7031778,-41.0158501
32059850,EEEFM DOMINGOS JOSE MARTINS,MARATAIZES,SRE CACHOEIRO DE ITAPEMIRIM,45.6419290905087,49.920634920634924,4.28,32059850,-21.02000667,-40.814055
32059868,EEEM PROF JOSE VEIGA DA SILVA,MARATAIZES,SRE CACHOEIRO DE ITAPEMIRIM,56.919322188846806,59.75670086371193,2.84,32059868,-21.05656881,-40.85827053
32059906,EEEFM LEOPOLDINO ROCHA,ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,45.875412877245374,60.68163289075239,14.81,32059906,-20.89109444,-40.78265332
32059965,CEEFMTI WASHINGTON PINHEIRO MEIRELLES,ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,52.661745549283545,48.486842105263165,-4.17,32059965,-21.0100506,-40.8281957
32060696,EEEFM ANTONIO JACQUES SOARES,ITAPEMIRIM,SRE CACHOEIRO DE ITAPEMIRIM,47.950819672131146,47.361111111111114,-0.59,32060696,-20.99013575,-41.0033133
32060920,EEEFM PRESIDENTE KENNEDY,PRESIDENTE KENNEDY,SRE CACHOEIRO DE ITAPEMIRIM,44.17568542568543,50.60283687943263,6.43,32060920,-21.10184432,-41.04508566
32061943,EEEFM PROFESSORA MARIA DA PAZ PIMENTEL,FUNDAO,SRE CARAPINA,42.55555555555556,62.629411764705885,20.07,32061943,-20.0016775,-40.4104581
32062648,EEEM PROFESSOR AGENOR RORIS,VILA VELHA,SRE VILA VELHA,48.66368125362155,54.93691154695052,6.27,32062648,-20.3716777,-40.3084554
32063199,EEEFM ELZA LEMOS ANDREATTA,VITORIA,SRE CARAPINA,38.56730769230769,41.42016411084208,2.85,32063199,-20.2765856,-40.3353965
32065027,EEEM AUGUSTO RUSCHI,VIANA,SRE CARIACICA,36.365570051049346,39.67169762641899,3.31,32065027,-20.360265,-40.4461417
32065051,EEEM IRMA DULCE LOPES PONTE,VIANA,SRE CARIACICA,41.75069195929322,48.55364090141672,6.8,32065051,-20.347486,-40.4243298
32065264,EEEFM FRANCISCA PEIXOTO MIGUEL,SERRA,SRE CARAPINA,46.52620789007092,44.97829759279246,-1.55,32065264,-20.1377916,-40.2482176
32065370,EEEFM PROF MARIA OLINDA DE OLIVEIRA MENEZES,SERRA,SRE CARAPINA,55.04220085470085,44.93753074274471,-10.1,32065370,-20.22064055,-40.22764362
32066333,EEEFM ZUMBI DOS PALMARES - SERRA,SERRA,SRE CARAPINA,48.62729599518217,50.2437423980539,1.62,32066333,-20.2133609,-40.2186142
32073330,EEEFM MISAEL PINTO NETTO,ARACRUZ,SRE LINHARES,45.93582887700535,52.56587939760371,6.63,32073330,-19.820705,-40.27461
32073445,EEEFM NEA SALLES NUNES PEREIRA,CARIACICA,SRE CARIACICA,52.13414634146341,47.45796783625731,-4.68,32073445,-20.3585389,-40.3733934
32074425,EEEFM ANTONIO JOSE PEIXOTO MIGUEL,SERRA,SRE CARAPINA,45.121330492424235,44.76366487455197,-0.36,32074425,-20.0570696,-40.204429
32075936,EEEFM PROFESSORA ANTONIETA BANHOS FERNANDES,LINHARES,SRE LINHARES,49.5855795148248,53.048809523809524,3.46,32075936,-19.3951751,-40.0396477
32076410,EEEFM DR JOSE MOYSES,CARIACICA,SRE CARIACICA,34.44179600886918,46.725083815909784,12.28,32076410,-20.3666738,-40.3740524
32078170,EEEFM GUILHERME MILANEZE,VARGEM ALTA,SRE CACHOEIRO DE ITAPEMIRIM,56.083002645502646,67.64285714285714,11.56,32078170,-20.60500821,-41.02982787
32078315,EEEM SOBREIRO,LARANJA DA TERRA,SRE AFONSO CLAUDIO,46.111111111111114,64.31818181818181,18.21,32078315,-19.8250238,-41.1128581
32078536,EEEM MENINO JESUS,MUNIZ FREIRE,SRE COMENDADORA JUREMA MORETZ SOHN,47.77777777777778,43.11813186813187,-4.66,32078536,-20.4013719,-41.42751904
32078552,EEEFM ANTONIO SABATINI SIMONI,MIMOSO DO SUL,SRE CACHOEIRO DE ITAPEMIRIM,48.39705882352941,54.78823529411765,6.39,32078552,-20.97404435,-41.5089343
32078587,EEEFM SANTISSIMA TRINDADE,IUNA,SRE COMENDADORA JUREMA MORETZ SOHN,51.34483167377905,52.64227642276423,1.3,32078587,-20.3560363,-41.5314036
32078625,EEEFM GUILHERMINA HULDA KRUGER REINHOLZ,SANTA LEOPOLDINA,SRE CARIACICA,47.96875,30.852272727272727,-17.12,32078625,-20.1998267,-40.542923
32078650,EEEM DUNAS DE ITAUNAS,CONCEICAO DA BARRA,SRE SAO MATEUS,41.40873015873016,47.06666666666666,5.66,32078650,-18.4201912,-39.7094753
32078722,EEEFM WALLACE CASTELLO DUTRA,SAO MATEUS,SRE SAO MATEUS,49.97654826958106,52.37367057540224,2.4,32078722,-18.7321625,-39.757661
32079214,EEEM PROF MARIA CANDIDO KNEIPP,MUNIZ FREIRE,SRE COMENDADORA JUREMA MORETZ SOHN,51.916666666666664,52.41727941176471,0.5,32079214,-20.4964704,-41.3351532
32079230,EEEM MARIO GURGEL,VILA VELHA,SRE VILA VELHA,45.957955088389866,41.13582251082251,-4.82,32079230,-20.4443062,-40.3549008
32079338,EEEM PROF RENATO JOSE DA COSTA PACHECO,VITORIA,SRE CARAPINA,58.054366799932424,54.03151197676999,-4.02,32079338,-20.2468334,-40.2716817
32079389,EEEFM VIRGINIA NOVA,RIO NOVO DO SUL,SRE CACHOEIRO DE ITAPEMIRIM,61.60714285714286,59.54671857619577,-2.06,32079389,-20.7535096,-40.9684912
32079435,EEEM MARIA DALVA GAMA BERNABE,NOVA VENECIA,SRE NOVA VENECIA,39.785353535353536,51.15384615384615,11.37,32079435,-18.6980753,-40.3941349
32079451,EEEM ZEFERINO OLIOSI,NOVA VENECIA,SRE NOVA VENECIA,43.51190476190476,60.625,17.11,32079451,-18.7856196,-40.5778617
32079842,EEEFM CANDIDO PORTINARI,SOORETAMA,SRE LINHARES,45.767982456140345,47.788744588744585,2.02,32079842,-19.08864036,-40.13892943
32080727,EEEM MATA FRIA,AFONSO CLAUDIO,SRE AFONSO CLAUDIO,35.25,55.55555555555555,20.31,32080727,-20.08252451,-40.97769189
32080867,CEEMTI BAIXO GUANDU,BAIXO GUANDU,SRE COLATINA,54.19072463768116,53.38461538461539,-0.81,32080867,-19.5149532,-41.0049619
32081294,EEIEFM ALDEIA CAIEIRAS VELHA,ARACRUZ,SRE LINHARES,42.438709677419354,48.06818181818181,5.63,32081294,-19.92059,-40.17521333
32081391,CEEFMTI SAO PEDRO DR AGESANDRO DA COSTA PEREIRA,VITORIA,SRE CARAPINA,39.422077922077925,46.04489164086687,6.62,32081391,-20.28277448,-40.33914118
32081618,CEEFMTI JOAQUIM BEATO,SERRA,SRE CARAPINA,33.05555555555556,55.34774985388661,22.29,32081618,-20.1336386,-40.2830477
32081634,CEEFMTI PASTOR OLIVEIRA DE ARAUJO,VILA VELHA,SRE VILA VELHA,34.871794871794876,42.323113207547166,7.45,32081634,-20.3545478,-40.3502642
32082223,CEEFMTI DR GETUNILDO PIMENTEL,SERRA,SRE CARAPINA,38.62068965517241,54.957664884135475,16.34,32082223,-20.21991983,-40.24676043
32082231,CEEMTI PAULO FREIRE,ANCHIETA,SRE VILA VELHA,62.534246575342465,68.25223632953397,5.72,32082231,-20.8053972,-40.6357604
32082274,EEEFM ILDA FERREIRA DA FONSECA MARTINS,SAO GABRIEL DA PALHA,SRE NOVA VENECIA,45.30952380952381,59.47658733091877,14.17,32082274,-19.01009069,-40.53970501
32082533,CEEFMTI ELISA PAIVA,CONCEICAO DO CASTELO,SRE AFONSO CLAUDIO,49.140625,55.079132823698046,5.94,32082533,-20.35709,-41.24476333
32083114,EECOR DE COLATINA,COLATINA,SRE COLATINA,61.93349753694581,59.6875,-2.25,32083114,-19.31012667,-40.68686
32094604,EEEM FRANCISCO GUILHERME,SANTA MARIA DE JETIBA,SRE AFONSO CLAUDIO,49.88636363636364,58.271780303030305,8.39,32094604,-20.1537706,-40.9451415
32096801,EEEFM AUGUSTO DE OLIVEIRA,CONCEICAO DA BARRA,SRE SAO MATEUS,37.65625,47.547149122807014,9.89,32096801,-18.4344743,-39.9306313
32134010,EEEFM VILA NOVA DE COLARES,SERRA,SRE CARAPINA,41.90276635129576,39.20992558097065,-2.69,32134010,-20.1782262,-40.2128266
